review,sentiment,length,paraphrase
This is a great movie. Too bad it is not available on home video.,positive,65,It is not available on home video.
Brilliant and moving performances by Tom Courtenay and Peter Finch.,positive,67,The performances by Tom and Peter were amazing.
Adrian Pasdar is excellent is this film. He makes a fascinating woman.,positive,70,The man is excellent in this film.
"I don't know why I like this movie so well, but I never get tired of watching it.",positive,81,"I don't know why I like this movie so much, but I never get tired of watching it."
Just love the interplay between two great characters of stage & screen - Veidt & Barrymore,positive,90,Veidt and Barrymore are two great characters.
This is a good film. This is very funny. Yet after this film there were no good Ernest films!,positive,93,There were no good Ernest films after this film.
"Add this little gem to your list of holiday regulars. It is<br /><br />sweet, funny, and endearing",positive,98,"It is sweet, funny, and endearing."
"If you like Pauly Shore, you'll love Son in Law. If you hate Pauly Shore, then, well...I liked it!",positive,98,"If you like Pauly Shore, you'll like Son in Law."
"This is the definitive movie version of Hamlet. Branagh cuts nothing, but there are no wasted moments.",positive,102,There are no wasted moments in this version of Hamlet.
A touching movie. It is full of emotions and wonderful acting. I could have sat through it a second time.,positive,105,I enjoyed the movie and could have watched it again.
a mesmerizing film that certainly keeps your attention... Ben Daniels is fascinating (and courageous) to watch.,positive,111,Ben Daniels is a fascinating film to watch.
This is the greatest movie ever. If you have written it off with out ever seeing it. You must give it a second try.,positive,115,"If you haven't seen it yet, you need to see it a second time."
"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",positive,115,"The movie will always be a Broadway and Movie classic if there are still people who sing, dance, and act."
"Without a doubt, one of Tobe Hoppor's best! Epic storytellng, great special effects, and The Spacegirl (vamp me baby!).",positive,119,It's one of Tobe Hoppor's best.
Absolutely fantastic! Whatever I say wouldn't do this underrated movie the justice it deserves. Watch it now! FANTASTIC!,positive,120,"I wouldn't do this movie justice, but it's fantastic!"
"As usual, Sean Connery does a great job. Lawrence Fishburn is good, but I have a hard time not seeing him as Ike Turner.",positive,120,Sean Connery and Lawrence Fishburn both do a good job.
For pure gothic vampire cheese nothing can compare to the Subspecies films. I highly recommend each and every one of them.,positive,122,The Subspecies films are the best for pure gothic vampire cheese.
If you've ever had a mad week-end out with your mates then you'll appreciate this film. Excellent fun and a laugh a minute.,positive,123,"If you've ever had a week-end out with your friends, you'll love this film."
"One of the funniest movies made in recent years. Good characterization, plot and exceptional chemistry make this one a classic",positive,126,The movie is one of the funniest in recent years.
"Brilliant. Ranks along with Citizen Kane, The Matrix and Godfathers. Must see, at least for basset in her early days. Watch it.",positive,127,It's a brilliant film and must be seen by basset in her early days.
"A great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. A must see.",positive,130,"The direction, acting, and casting of the film make it even more powerful."
"Obviously written for the stage. Lightweight but worthwhile. How can you go wrong with Ralph Richardson, Olivier and Merle Oberon.",positive,130,It was written for the stage.
"As a big fan of Tiny Toon Adventures, I loved this movie!!! It was so funny!!! It really captured how cartoons spent their summers.",positive,131,I loved this movie because it captured how cartoons spent their summers.
"Brilliant movie. The drawings were just amazing. Too bad it ended before it begun. I´ve waited 21 years for a sequel, but nooooo!!!",positive,131,"It was a great movie, but it ended before it began."
My favorite movie. What a great story this really was. I'd just like to be able to buy a copy of it but this does not seem possible.,positive,132,"I would like to be able to buy a copy of this movie, but it doesn't seem possible."
"Very intelligent language usage of Ali, which you musn't miss! In one word: (eeh sentence...) Wicked, so keep it real and pass it on!",positive,133,"Ali's language usage is very intelligent, so keep it real and pass it on!"
"I think it's one of the greatest movies which are ever made, and I've seen many... The book is better, but it's still a very good movie!",positive,136,"The book is better than the movie, but it's still a very good movie."
"This is a very cool movie. The ending of the movie is a bit more defined than the play's ending, but either way it is still a good movie.",positive,137,"The ending of the movie is more defined than the play's, but it is still a good movie."
"I see it when I was 12 year old and I dream to see it again !<br /><br />What marvelous Sammy Davis Jr singing ""it ain't necessarily so !""",positive,138,I see it when I was 12 years old and I want to see it again.
This film made John Glover a star. Alan Raimy is one of the most compelling character that I have ever seen on film. And I mean that sport.,positive,139,The film made John Glover a star.
This movie turned out to be better than I had expected it to be. Some parts were pretty funny. It was nice to have a movie with a new plot.,positive,139,The movie turned out to be better than I thought.
The one-liners fly so fast in this movie that you can watch it over and over and still catch new ones. By far one of the best of this genre.,positive,140,The one-liners fly so fast in this movie that you can watch it over and over and still catch new ones.
"Great story, great music. A heartwarming love story that's beautiful to watch and delightful to listen to. Too bad there is no soundtrack CD.",positive,141,"Great story, great music, but there is no soundtrack CD."
Excellent episode movie ala Pulp Fiction. 7 days - 7 suicides. It doesnt get more depressing than this. Movie rating: 8/10 Music rating: 10/10,positive,142,The movie is an excellent example of a depressing movie.
I thought this was a quiet good movie. It was fun to watch it. What I liked best where the 'Outtakes' at the end of the movie. They were GREAT.,positive,143,The movie was enjoyable and I liked the 'outtake' at the end.
"Drum scene is wild! Cook, Jr. is unsung hero of this and many movies. Fantastic actor, great flick. A few twists that keep you moving. A must-see.",positive,146,"Cook, Jr. is the hero of this and many other movies."
"John Leguizamo's ""Freak"" is one of the funniest one-man shows I've ever seen! I recommend it to anyone! Well, anyone with a good sense of humor....",positive,147,John Leguizamo's show is one of the funniest shows I've ever seen.
Anyone who gives this movie less than 8 needs to step outside & puff a couple. Great story.<br /><br />Reality is for people who can't handle drugs.,positive,148,People who can't handle drugs should watch this movie.
It is an almost ideal romantic anime! MUST SEE FOR ALL AGES! But the English dubbed version is not too good. Perhaps the 1999 version will be better.,positive,149,The English dubbed version is not very good.
The Buddy Holly Story is a great biography with a super performance from Gary Busey. Busey did his own singing for this film and he does a great job.,positive,149,Gary Busey does a great job in The Buddy Holly Story.
Rating-10 Classic Waters! One of his best and most shocking films! Divine is THE most filthy person ever! Mink Stole also delivers a superb performance!,positive,152,Classic Waters is one of his best and most shocking films.
One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear! Rather risqué for 1931!,positive,155,Guests on a private yacht decide to take a swim in their underwear at the beginning of the movie.
"Great cast, great acting, great music. Each character in this movie had their own stories and personalities and it's vivid. A great movie not to be missed.",positive,155,"There is a great cast, great acting, and great music in this movie."
