review,sentiment,length,v_replacement,n_replacement,adj_replacement,v_entropy,n_entropy,adj_entropy
This is a great movie. Too bad it is not available on home video.,positive,65,{'is': 'This was a great movie. Too bad it was not available on home video.'},"{'Too': 'this is a great movie. however bad it is not available on home video.', 'home': 'this is a great movie. too bad it is not available on vhs video.', 'movie': 'this is a great story. too bad it is not available on home video.', 'video': 'this is a great movie. too bad it is not available on home dvd.'}","{'great': 'this is a great movie. too bad it is not available on home video.', 'bad': 'this is a great movie. too sad it is not available on home video.', 'available': 'this is a great movie. too bad it is not ever on home video.'}",{'is': 5.5515811254736036e-05},"{'Too': 5.5550135584780946e-05, 'home': 5.562403021031059e-05, 'movie': 5.555100869969465e-05, 'video': 5.564435195992701e-05}","{'great': 5.555248208111152e-05, 'bad': 5.596539631369524e-05, 'available': 5.565434184973128e-05}"
Brilliant and moving performances by Tom Courtenay and Peter Finch.,positive,67,{'moving': 'brilliant and inspiring performances by tom courtenay and peter finch.'},"{'performances': 'brilliant and moving books by tom courtenay and peter finch.', 'Brilliant': 'music and moving performances by tom courtenay and peter finch.', 'Peter': 'brilliant and moving performances by tom courtenay and john finch.', 'Courtenay': 'brilliant and moving performances by tom mix and peter finch.', 'Finch': 'brilliant and moving performances by tom courtenay and peter wright.', 'Tom': 'brilliant and moving performances by richard courtenay and peter finch.'}",{},{'moving': 5.184398833080195e-05},"{'performances': 5.190202864469029e-05, 'Brilliant': 5.192738171899691e-05, 'Peter': 5.1897644880227745e-05, 'Courtenay': 5.186182897887193e-05, 'Finch': 5.182401946512982e-05, 'Tom': 5.186975249671377e-05}",{}
Adrian Pasdar is excellent is this film. He makes a fascinating woman.,positive,70,"{'makes': 'adrian pasdar is excellent is this film. he has a fascinating woman.', 'is': 'Adrian Pasdar was excellent was this film. He makes a fascinating woman.'}","{'film': 'adrian pasdar is excellent is this way. he makes a fascinating woman.', 'woman': 'adrian pasdar is excellent is this film. he makes a fascinating movie.', 'Pasdar': 'adriane is excellent is this film. he makes a fascinating woman.'}","{'fascinating': 'adrian pasdar is excellent is this film. he makes a perfect woman.', 'excellent': 'adrian pasdar is good is this film. he makes a fascinating woman.', 'Adrian': 'director pasdar is excellent is this film. he makes a fascinating woman.'}","{'makes': 4.3778596591437235e-05, 'is': 4.347047070041299e-05}","{'film': 4.402893318911083e-05, 'woman': 4.3801024730782956e-05, 'Pasdar': 4.4088570575695485e-05}","{'fascinating': 4.412644557305612e-05, 'excellent': 4.3959389586234465e-05, 'Adrian': 4.354700286057778e-05}"
"I don't know why I like this movie so well, but I never get tired of watching it.",positive,81,"{'tired': ""i don't know why i like this movie so well, but i never get enough of watching it."", 'know': ""i don't say why i like this movie so well, but i never get tired of watching it."", 'like': ""i don't know why i do this movie so well, but i never get tired of watching it."", 'get': ""i don't know why i like this movie so well, but i never grew tired of watching it."", 'watching': ""i don't know why i like this movie so well, but i never get tired of watch it."", ""don't"": 'i also know why i like this movie so well, but i never get tired of watching it.'}","{'it': ""i don't know why i like this movie so well, but i never get tired of watching movies."", 'movie': ""i don't know why i like this game so well, but i never get tired of watching it.""}","{'well': ""i don't know why i like this movie so far, but i never get tired of watching it.""}","{'tired': 5.49235446669627e-05, 'know': 5.482254709932022e-05, 'like': 5.482894630404189e-05, 'get': 5.4837622883496806e-05, 'watching': 5.487184535013512e-05, ""don't"": 5.48632706340868e-05}","{'it': 5.49221076653339e-05, 'movie': 5.489446994033642e-05}",{'well': 5.4844280384713784e-05}
Just love the interplay between two great characters of stage & screen - Veidt & Barrymore,positive,90,{'love': 'just for the interplay between two great characters of stage & screen - veidt & barrymore'},"{'characters': 'just love the interplay between two great artists of stage & screen - veidt & barrymore', 'Veidt': 'just love the interplay between two great characters of stage & screen - broadway & barrymore', 'Barrymore': 'just love the interplay between two great characters of stage & screen - veidt &...', 'stage': 'just love the interplay between two great characters of song & screen - veidt & barrymore', 'interplay': 'just love the chemistry between two great characters of stage & screen - veidt & barrymore'}","{'great': 'just love the interplay between two famous characters of stage & screen - veidt & barrymore', 'screen': 'just love the interplay between two great characters of stage & movie - veidt & barrymore'}",{'love': 7.195233047241345e-05},"{'characters': 7.200728578027338e-05, 'Veidt': 7.200500112958252e-05, 'Barrymore': 7.195901707746089e-05, 'stage': 7.207389717223123e-05, 'interplay': 7.201968401204795e-05}","{'great': 7.196189108071849e-05, 'screen': 7.199312676675618e-05}"
This is a good film. This is very funny. Yet after this film there were no good Ernest films!,positive,93,"{'were': 'this is a good film. this is very funny. yet after this film there be no good ernest films!', 'is': 'This was a good film. This was very funny. Yet after this film there were no good Ernest films!'}","{'film': 'This is a good movie. This is very funny. Yet after this movie there were no good Ernest films!', 'Ernest': 'this is a good film. this is very funny. yet after this film there were no good action films!', 'films': 'this is a good film. this is very funny. yet after this film there were no good ernest comedies!'}","{'funny': 'this is a good film. this is very beautiful. yet after this film there were no good ernest films!', 'good': 'This is a funny film. This is very funny. Yet after this film there were no funny Ernest films!'}","{'were': 5.6784563639666885e-05, 'is': 5.652340405504219e-05}","{'film': 5.6517019402235746e-05, 'Ernest': 5.662352486979216e-05, 'films': 5.6680513807805255e-05}","{'funny': 5.680320464307442e-05, 'good': 5.6556535128038377e-05}"
"Add this little gem to your list of holiday regulars. It is<br /><br />sweet, funny, and endearing",positive,98,"{'Add': 'bring this little gem to your list of holiday regulars. it is sweet, funny, and endearing', 'endearing': 'add this little gem to your list of holiday regulars. it is sweet, funny, and?', 'is': 'add this little gem to your list of holiday regulars. it tasted sweet, funny, and endearing'}","{'regulars': 'add this little gem to your list of holiday stories. it is sweet, funny, and endearing', 'funny': 'add this little gem to your list of holiday regulars. it is sweet, simple, and endearing', 'holiday': 'add this little gem to your list of favorite regulars. it is sweet, funny, and endearing', 'gem': 'add this little song to your list of holiday regulars. it is sweet, funny, and endearing', 'list': 'add this little gem to your roster of holiday regulars. it is sweet, funny, and endearing'}","{'little': 'add this particular gem to your list of holiday regulars. it is sweet, funny, and endearing', 'sweet': 'add this little gem to your list of holiday regulars. it is charming, funny, and endearing'}","{'Add': 8.423156396020204e-05, 'endearing': 8.46869224915281e-05, 'is': 8.438609074801207e-05}","{'regulars': 8.43036687001586e-05, 'funny': 8.411444287048653e-05, 'holiday': 8.422885002801195e-05, 'gem': 8.41740911710076e-05, 'list': 8.417461503995582e-05}","{'little': 8.415928459726274e-05, 'sweet': 8.421662641922012e-05}"
"If you like Pauly Shore, you'll love Son in Law. If you hate Pauly Shore, then, well...I liked it!",positive,98,"{'liked': ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, well... i love it!"", 'love': ""if you like pauly shore, you'll get son in law. if you hate pauly shore, then, well... i liked it!"", 'like': ""if you want pauly shore, you'll love son in law. if you hate pauly shore, then, well... i liked it!"", 'hate': ""if you like pauly shore, you'll love son in law. if you likes pauly shore, then, well... i liked it!""}","{'Law': ""if you like pauly shore, you'll love son in turn. if you hate pauly shore, then, well... i liked it!"", 'Son': ""if you like pauly shore, you'll love sisters in law. if you hate pauly shore, then, well... i liked it!"", 'well': ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, and... i liked it!"", 'then': ""if you like pauly shore, you'll love son in law. if you hate pauly shore, you, well... i liked it!"", 'Shore': ""If you like Pauly brown, you'll love Son in Law. If you hate Pauly brown, then, well...I liked it!"", ""you'll"": 'if you like pauly shore, my love son in law. if you hate pauly shore, then, well... i liked it!', 'it': ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, well... i liked that!"", 'Pauly': ""If you like the Shore, you'll love Son in Law. If you hate the Shore, then, well...I liked it!""}",{},"{'liked': 5.270191468298435e-05, 'love': 5.261688056634739e-05, 'like': 5.2606530516641214e-05, 'hate': 5.2584062359528616e-05}","{'Law': 5.264707942842506e-05, 'Son': 5.258809687802568e-05, 'well': 5.280357800074853e-05, 'then': 5.266061270958744e-05, 'Shore': 5.2419156418181956e-05, ""you'll"": 5.274370778352022e-05, 'it': 5.275553121464327e-05, 'Pauly': 5.263450657366775e-05}",{}
"This is the definitive movie version of Hamlet. Branagh cuts nothing, but there are no wasted moments.",positive,102,"{'are': 'this is the definitive movie version of hamlet. branagh cuts nothing, but there be no wasted moments.', 'cuts': 'this is the definitive movie version of hamlet. branagh is nothing, but there are no wasted moments.', 'is': 'this represents the definitive movie version of hamlet. branagh cuts nothing, but there are no wasted moments.'}","{'movie': 'this is the definitive cinematic version of hamlet. branagh cuts nothing, but there are no wasted moments.', 'moments': 'this is the definitive movie version of hamlet. branagh cuts nothing, but there are no wasted laughs.', 'Hamlet': 'this is the definitive movie version of oz. branagh cuts nothing, but there are no wasted moments.', 'version': 'this is the definitive movie performance of hamlet. branagh cuts nothing, but there are no wasted moments.', 'Branagh': 'this is the definitive movie version of hamlet. this cuts nothing, but there are no wasted moments.'}","{'definitive': 'this is the silent movie version of hamlet. branagh cuts nothing, but there are no wasted moments.', 'wasted': 'this is the definitive movie version of hamlet. branagh cuts nothing, but there are no funny moments.'}","{'are': 5.139988206792623e-05, 'cuts': 5.144624810782261e-05, 'is': 5.132696242071688e-05}","{'movie': 5.142876034369692e-05, 'moments': 5.140080247656442e-05, 'Hamlet': 5.129566852701828e-05, 'version': 5.141308065503836e-05, 'Branagh': 5.143443922861479e-05}","{'definitive': 5.136895561008714e-05, 'wasted': 5.134879393153824e-05}"
A touching movie. It is full of emotions and wonderful acting. I could have sat through it a second time.,positive,105,"{'have': 'a touching movie. it is full of emotions and wonderful acting. i could never sat through it a second time.', 'sat': 'a touching movie. it is full of emotions and wonderful acting. i could have played through it a second time.', 'is': 'a touching movie. it looked full of emotions and wonderful acting. i could have sat through it a second time.'}","{'acting': 'a touching movie. it is full of emotions and wonderful moments. i could have sat through it a second time.', 'movie': 'a touching story. it is full of emotions and wonderful acting. i could have sat through it a second time.', 'time': 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a second day.', 'emotions': 'a touching movie. it is full of life and wonderful acting. i could have sat through it a second time.'}","{'second': 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a better time.', 'wonderful': 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a second time.', 'full': 'a touching movie. it is composed of emotions and wonderful acting. i could have sat through it a second time.', 'touching': 'a romantic movie. it is full of emotions and wonderful acting. i could have sat through it a second time.'}","{'have': 5.121814683661796e-05, 'sat': 5.1155322580598295e-05, 'is': 5.115448948345147e-05}","{'acting': 5.119107663631439e-05, 'movie': 5.118236367707141e-05, 'time': 5.116680767969228e-05, 'emotions': 5.1196551794419065e-05}","{'second': 5.122690345160663e-05, 'wonderful': 5.11779471707996e-05, 'full': 5.120156492921524e-05, 'touching': 5.123095979797654e-05}"
