review,sentiment,length,v_replacement,n_replacement,adj_replacement
This is a great movie. Too bad it is not available on home video.,positive,65,"['[CLS] this is a great movie. too bad it [MASK] not available on home video. [SEP]', '[CLS] this [MASK] a great movie. too bad it is not available on home video. [SEP]', '[CLS] this is a great movie. too bad it [MASK] not available on home video. [SEP]', '[CLS] this [MASK] a great movie. too bad it is not available on home video. [SEP]']","['this is a great film. too bad it is not available on home video.', 'this is a great movie. too bad it is not available on home video.', 'this is a great movie. too bad it is not available on home video.', 'this is a great movie. too bad it is not available on home video.']","['this is a bad movie. too bad it is not available on home video.', 'this is a great movie. too bad it is not available on home video.', 'this is a great movie. too bad it is not available on home video.']"
Brilliant and moving performances by Tom Courtenay and Peter Finch.,positive,67,['brilliant and memorable performances by tom courtenay and peter finch.'],"['live and moving performances by tom courtenay and peter finch.', 'brilliant and moving written by tom courtenay and peter finch.', 'brilliant and moving performances by tom courtenay and peter finch.', 'brilliant and moving performances by tom jones and peter finch.', 'brilliant and moving performances by tom courtenay and peter finch.', 'brilliant and moving performances by tom courtenay and peter cook.']",[]
Adrian Pasdar is excellent is this film. He makes a fascinating woman.,positive,70,"['[CLS] adrian pasdar is excellent [MASK] this film. he makes a fascinating woman. [SEP]', '[CLS] adrian pasdar [MASK] excellent in this film. he makes a fascinating woman. [SEP]', '[CLS] adrian pasdar is excellent [MASK] this film. he makes a fascinating woman. [SEP]', '[CLS] adrian pasdar [MASK] excellent in this film. he makes a fascinating woman. [SEP]', 'adrian pasdar is excellent is this film. he is a fascinating woman.']","['adriano is excellent is this film. he makes a fascinating woman.', 'adrian pasdar is excellent is this one. he makes a fascinating woman.', 'adrian pasdar is excellent is this film. he makes a fascinating character.']","['the pasdar is excellent is this film. he makes a fascinating woman.', 'adrian pasdar is famous is this film. he makes a fascinating woman.', 'adrian pasdar is excellent is this film. he makes a beautiful woman.']"
"I don't know why I like this movie so well, but I never get tired of watching it.",positive,81,"['i never know why i like this movie so well, but i never get tired of watching it.', ""i don't know why i like this movie so well, but i never get tired of watching it."", ""i don't know why i know this movie so well, but i never get tired of watching it."", ""i don't know why i like this movie so well, but i never get tired of watching it."", ""i don't know why i like this movie so well, but i never get tired of watching it."", ""i don't know why i like this movie so well, but i never get tired of watching it.""]","[""i don't know why i like this movie so well, but i never get tired of watching it."", ""i don't know why i like this movie so well, but i never get tired of watching it.""]","[""i don't know why i like this movie so much, but i never get tired of watching it.""]"
Just love the interplay between two great characters of stage & screen - Veidt & Barrymore,positive,90,['just imagine the interplay between two great characters of stage & screen - veidt & barrymore'],"['just love the friendship between two great characters of stage & screen - veidt & barrymore', 'just love the interplay between two great stars of stage & screen - veidt & barrymore', 'just love the interplay between two great characters of stage & screen - veidt & barrymore', 'just love the interplay between two great characters of stage & screen - shakespeare & barrymore', 'just love the interplay between two great characters of stage & screen - veidt &.']","['just love the interplay between two different characters of stage & screen - veidt & barrymore', 'just love the interplay between two great characters of stage & screen - veidt & barrymore']"
This is a good film. This is very funny. Yet after this film there were no good Ernest films!,positive,93,"['[CLS] this was a good film. this [MASK] very funny. yet after this film there were no good ernest films! [SEP]', '[CLS] this [MASK] a good film. this is very funny. yet after this film there were no good ernest films! [SEP]', '[CLS] this was a good film. this [MASK] very funny. yet after this film there were no good ernest films! [SEP]', '[CLS] this [MASK] a good film. this is very funny. yet after this film there were no good ernest films! [SEP]', 'this is a good film. this is very funny. yet after this film there were no good ernest films!']","['[CLS] this is a good movie. this is very funny. yet after this [MASK] there were no good ernest films! [SEP]', '[CLS] this is a good [MASK]. this is very funny. yet after this, there were no good ernest films! [SEP]', '[CLS] this is a good movie. this is very funny. yet after this [MASK] there were no good ernest films! [SEP]', '[CLS] this is a good [MASK]. this is very funny. yet after this, there were no good ernest films! [SEP]', 'this is a good film. this is very funny. yet after this film there were no good comedy films!', 'this is a good film. this is very funny. yet after this film there were no good ernests!']","['[CLS] this is a funny film. this is very funny. yet after this film there were no [MASK] ernest films! [SEP]', '[CLS] this is a [MASK] film. this is very funny. yet after this film there were no more ernest films! [SEP]', 'this is a good film. this is very good. yet after this film there were no good ernest films!', '[CLS] this is a funny film. this is very funny. yet after this film there were no [MASK] ernest films! [SEP]', '[CLS] this is a [MASK] film. this is very funny. yet after this film there were no more ernest films! [SEP]']"
"Add this little gem to your list of holiday regulars. It is<br /><br />sweet, funny, and endearing",positive,98,"['add this little gem to your list of holiday regulars. it is sweet, funny, and endearing', 'add this little gem to your list of holiday regulars. it was sweet, funny, and endearing', 'add this little gem to your list of holiday regulars. it is sweet, funny, and.']","['add this little book to your list of holiday regulars. it is sweet, funny, and endearing', 'add this little gem to your list of holiday regulars. it is sweet, funny, and endearing', 'add this little gem to your list of new regulars. it is sweet, funny, and endearing', 'add this little gem to your list of holiday gifts. it is sweet, funny, and endearing', 'add this little gem to your list of holiday regulars. it is sweet, sweet, and endearing']","['add this little gem to your list of holiday regulars. it is sweet, funny, and endearing', 'add this little gem to your list of holiday regulars. it is fun, funny, and endearing']"
"If you like Pauly Shore, you'll love Son in Law. If you hate Pauly Shore, then, well...I liked it!",positive,98,"[""if you hate pauly shore, you'll love son in law. if you hate pauly shore, then, well... i liked it!"", ""if you like pauly shore, you'll be son in law. if you hate pauly shore, then, well... i liked it!"", ""if you like pauly shore, you'll love son in law. if you like pauly shore, then, well... i liked it!"", ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, well... i get it!""]","[""[CLS] if you like the shore, you'll love son in law. if you hate [MASK] shore, then, well... i liked it! [SEP]"", ""[CLS] if you like [MASK] shore, you'll love son in law. if you hate the shore, then, well... i liked it! [SEP]"", ""[CLS] if you like pauly brown, you'll love son in law. if you hate pauly [MASK], then, well... i liked it! [SEP]"", ""[CLS] if you like pauly [MASK], you'll love son in law. if you hate pauly too, then, well... i liked it! [SEP]"", 'if you like pauly shore, i love son in law. if you hate pauly shore, then, well... i liked it!', ""if you like pauly shore, you'll love father in law. if you hate pauly shore, then, well... i liked it!"", ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, well... i liked it!"", ""[CLS] if you like the shore, you'll love son in law. if you hate [MASK] shore, then, well... i liked it! [SEP]"", ""[CLS] if you like [MASK] shore, you'll love son in law. if you hate the shore, then, well... i liked it! [SEP]"", ""[CLS] if you like pauly brown, you'll love son in law. if you hate pauly [MASK], then, well... i liked it! [SEP]"", ""[CLS] if you like pauly [MASK], you'll love son in law. if you hate pauly too, then, well... i liked it! [SEP]"", ""if you like pauly shore, you'll love son in law. if you hate pauly shore, well, well... i liked it!"", ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, then... i liked it!"", ""if you like pauly shore, you'll love son in law. if you hate pauly shore, then, well... i liked him!""]",[]
"This is the definitive movie version of Hamlet. Branagh cuts nothing, but there are no wasted moments.",positive,102,"['this is the definitive movie version of hamlet. branagh cuts nothing, but there are no wasted moments.', 'this is the definitive movie version of hamlet. branagh says nothing, but there are no wasted moments.', 'this is the definitive movie version of hamlet. branagh cuts nothing, but there are no wasted moments.']","['this is the definitive film version of hamlet. branagh cuts nothing, but there are no wasted moments.', 'this is the definitive movie version of hamlet. branagh cuts nothing, but there are no wasted moments.', 'this is the definitive movie version of mr. branagh cuts nothing, but there are no wasted moments.', 'this is the definitive movie version of hamlet. it cuts nothing, but there are no wasted moments.', 'this is the definitive movie version of hamlet. branagh cuts nothing, but there are no wasted cuts.']","['this is the first movie version of hamlet. branagh cuts nothing, but there are no wasted moments.', 'this is the definitive movie version of hamlet. branagh cuts nothing, but there are no bad moments.']"
A touching movie. It is full of emotions and wonderful acting. I could have sat through it a second time.,positive,105,"['a touching movie. it was full of emotions and wonderful acting. i could have sat through it a second time.', 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a second time.', 'a touching movie. it is full of emotions and wonderful acting. i could have gone through it a second time.']","['a touching experience. it is full of emotions and wonderful acting. i could have sat through it a second time.', 'a touching movie. it is full of action and wonderful acting. i could have sat through it a second time.', 'a touching movie. it is full of emotions and wonderful scenes. i could have sat through it a second time.', 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a second time.']","['a wonderful movie. it is full of emotions and wonderful acting. i could have sat through it a second time.', 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a second time.', 'a touching movie. it is full of emotions and good acting. i could have sat through it a second time.', 'a touching movie. it is full of emotions and wonderful acting. i could have sat through it a long time.']"
